round,date,time,team1,team2,score/ht/0,score/ht/1,score/ft/0,score/ft/1,status
Matchday 26,2023-04-02,15:30,1. FC Köln,Borussia Mönchengladbach,,,0,0,
Matchday 26,2023-04-02,17:30,SV Werder Bremen,TSG 1899 Hoffenheim,0,0,1,2,
Matchday 27,2023-04-08,15:30,FC Augsburg,1. FC Köln,1,2,1,3,
Matchday 27,2023-04-08,15:30,1. FSV Mainz 05,SV Werder Bremen,0,0,2,2,
Matchday 27,2023-04-08,15:30,SC Freiburg,FC Bayern München,0,0,0,1,
Matchday 27,2023-04-08,15:30,Bayer 04 Leverkusen,Eintracht Frankfurt,2,0,3,1,
Matchday 27,2023-04-08,15:30,Borussia Dortmund,1. FC Union Berlin,1,0,2,1,
Matchday 27,2023-04-08,18:30,Hertha BSC,RB Leipzig,0,1,0,1,
Matchday 27,2023-04-09,15:30,Borussia Mönchengladbach,VfL Wolfsburg,1,0,2,0,
Matchday 27,2023-04-09,17:30,VfL Bochum 1848,VfB Stuttgart,0,1,2,3,
Matchday 27,2023-04-09,19:30,TSG 1899 Hoffenheim,FC Schalke 04,1,0,2,0,
Matchday 28,2023-04-14,20:30,FC Schalke 04,Hertha BSC,2,1,5,2,
Matchday 28,2023-04-15,15:30,VfB Stuttgart,Borussia Dortmund,0,2,3,3,
Matchday 28,2023-04-15,15:30,1. FC Köln,1. FSV Mainz 05,0,1,1,1,
Matchday 28,2023-04-15,15:30,RB Leipzig,FC Augsburg,3,1,3,2,
Matchday 28,2023-04-15,15:30,FC Bayern München,TSG 1899 Hoffenheim,1,0,1,1,
Matchday 28,2023-04-15,18:30,Eintracht Frankfurt,Borussia Mönchengladbach,0,1,1,1,
Matchday 28,2023-04-16,15:30,SV Werder Bremen,SC Freiburg,0,0,1,2,
Matchday 28,2023-04-16,17:30,1. FC Union Berlin,VfL Bochum 1848,1,0,1,1,
Matchday 28,2023-04-16,19:30,VfL Wolfsburg,Bayer 04 Leverkusen,,,0,0,
Matchday 29,2023-04-21,20:30,FC Augsburg,VfB Stuttgart,1,0,1,1,
Matchday 29,2023-04-22,15:30,Hertha BSC,SV Werder Bremen,0,2,2,4,
Matchday 29,2023-04-22,15:30,VfL Bochum 1848,VfL Wolfsburg,0,3,1,5,
Matchday 29,2023-04-22,15:30,TSG 1899 Hoffenheim,1. FC Köln,0,2,1,3,
Matchday 29,2023-04-22,15:30,1. FSV Mainz 05,FC Bayern München,0,1,3,1,
Matchday 29,2023-04-22,18:30,Borussia Dortmund,Eintracht Frankfurt,3,0,4,0,
Matchday 29,2023-04-23,15:30,SC Freiburg,FC Schalke 04,2,0,4,0,
Matchday 29,2023-04-23,17:30,Bayer 04 Leverkusen,RB Leipzig,1,0,2,0,
Matchday 29,2023-04-23,19:30,Borussia Mönchengladbach,1. FC Union Berlin,0,0,0,1,
Matchday 30,2023-04-28,20:30,VfL Bochum 1848,Borussia Dortmund,1,1,1,1,
Matchday 30,2023-04-29,15:30,VfB Stuttgart,Borussia Mönchengladbach,1,0,2,1,
Matchday 30,2023-04-29,15:30,Eintracht Frankfurt,FC Augsburg,1,0,1,1,
Matchday 30,2023-04-29,15:30,1. FC Köln,SC Freiburg,0,0,0,1,
Matchday 30,2023-04-29,15:30,1. FC Union Berlin,Bayer 04 Leverkusen,,,0,0,
Matchday 30,2023-04-29,15:30,RB Leipzig,TSG 1899 Hoffenheim,1,0,1,0,
Matchday 30,2023-04-29,18:30,FC Schalke 04,SV Werder Bremen,0,1,2,1,
Matchday 30,2023-04-30,15:30,FC Bayern München,Hertha BSC,0,0,2,0,
Matchday 30,2023-04-30,17:30,VfL Wolfsburg,1. FSV Mainz 05,3,0,3,0,
Matchday 31,2023-05-05,20:30,1. FSV Mainz 05,FC Schalke 04,0,1,2,3,
Matchday 31,2023-05-05,20:30,Bayer 04 Leverkusen,1. FC Köln,1,2,1,2,
Matchday 31,2023-05-06,15:30,Hertha BSC,VfB Stuttgart,2,1,2,1,
Matchday 31,2023-05-06,15:30,FC Augsburg,1. FC Union Berlin,0,0,1,0,
Matchday 31,2023-05-06,15:30,Borussia Mönchengladbach,VfL Bochum 1848,1,0,2,0,
Matchday 31,2023-05-06,15:30,TSG 1899 Hoffenheim,Eintracht Frankfurt,3,0,3,1,
Matchday 31,2023-05-06,15:30,SC Freiburg,RB Leipzig,0,0,0,1,
Matchday 31,2023-05-06,18:30,SV Werder Bremen,FC Bayern München,0,0,1,2,
Matchday 31,2023-05-07,17:30,Borussia Dortmund,VfL Wolfsburg,3,0,6,0,
Matchday 32,2023-05-12,20:30,1. FC Köln,Hertha BSC,3,2,5,2,
Matchday 32,2023-05-13,15:30,VfL Bochum 1848,FC Augsburg,1,1,3,2,
Matchday 32,2023-05-13,15:30,VfL Wolfsburg,TSG 1899 Hoffenheim,1,0,2,1,
Matchday 32,2023-05-13,15:30,Eintracht Frankfurt,1. FSV Mainz 05,2,0,3,0,
Matchday 32,2023-05-13,15:30,1. FC Union Berlin,SC Freiburg,3,0,4,2,
Matchday 32,2023-05-13,15:30,FC Bayern München,FC Schalke 04,2,0,6,0,
Matchday 32,2023-05-13,18:30,Borussia Dortmund,Borussia Mönchengladbach,4,0,5,2,
Matchday 32,2023-05-14,15:30,VfB Stuttgart,Bayer 04 Leverkusen,0,0,1,1,
Matchday 32,2023-05-14,17:30,RB Leipzig,SV Werder Bremen,0,0,2,1,
Matchday 33,2023-05-19,20:30,SC Freiburg,VfL Wolfsburg,0,0,2,0,
Matchday 33,2023-05-20,15:30,SV Werder Bremen,1. FC Köln,0,1,1,1,
Matchday 33,2023-05-20,15:30,FC Schalke 04,Eintracht Frankfurt,1,1,2,2,
Matchday 33,2023-05-20,15:30,Hertha BSC,VfL Bochum 1848,0,0,1,1,
Matchday 33,2023-05-20,15:30,TSG 1899 Hoffenheim,1. FC Union Berlin,2,1,4,2,
Matchday 33,2023-05-20,18:30,FC Bayern München,RB Leipzig,1,0,1,3,
Matchday 33,2023-05-21,15:30,1. FSV Mainz 05,VfB Stuttgart,1,1,1,4,
Matchday 33,2023-05-21,17:30,FC Augsburg,Borussia Dortmund,0,0,0,3,
Matchday 33,2023-05-21,19:30,Bayer 04 Leverkusen,Borussia Mönchengladbach,2,0,2,2,
Matchday 34,2023-05-27,15:30,VfB Stuttgart,TSG 1899 Hoffenheim,0,0,1,1,
Matchday 34,2023-05-27,15:30,VfL Bochum 1848,Bayer 04 Leverkusen,2,0,3,0,
Matchday 34,2023-05-27,15:30,VfL Wolfsburg,Hertha BSC,1,0,1,2,
Matchday 34,2023-05-27,15:30,Eintracht Frankfurt,SC Freiburg,0,1,2,1,
Matchday 34,2023-05-27,15:30,Borussia Mönchengladbach,FC Augsburg,2,0,2,0,
Matchday 34,2023-05-27,15:30,1. FC Köln,FC Bayern München,0,1,1,2,
Matchday 34,2023-05-27,15:30,1. FC Union Berlin,SV Werder Bremen,0,0,1,0,
Matchday 34,2023-05-27,15:30,RB Leipzig,FC Schalke 04,2,1,4,2,
Matchday 34,2023-05-27,15:30,Borussia Dortmund,1. FSV Mainz 05,0,2,2,2,
Matchday 1,2023-08-18,20:30,SV Werder Bremen,FC Bayern München,0,1,0,4,
Matchday 1,2023-08-19,15:30,Bayer 04 Leverkusen,RB Leipzig,2,1,3,2,
Matchday 1,2023-08-19,15:30,VfL Wolfsburg,1. FC Heidenheim 1846,2,0,2,0,
Matchday 1,2023-08-19,15:30,TSG 1899 Hoffenheim,SC Freiburg,0,2,1,2,
Matchday 1,2023-08-19,15:30,FC Augsburg,Borussia Mönchengladbach,3,3,4,4,
Matchday 1,2023-08-19,15:30,VfB Stuttgart,VfL Bochum 1848,2,0,5,0,
Matchday 1,2023-08-19,18:30,Borussia Dortmund,1. FC Köln,0,0,1,0,
Matchday 1,2023-08-20,15:30,1. FC Union Berlin,1. FSV Mainz 05,2,0,4,1,
Matchday 1,2023-08-20,17:30,Eintracht Frankfurt,SV Darmstadt 98,1,0,1,0,
Matchday 2,2023-08-25,20:30,RB Leipzig,VfB Stuttgart,0,1,5,1,
Matchday 2,2023-08-26,15:30,SC Freiburg,SV Werder Bremen,0,0,1,0,
Matchday 2,2023-08-26,15:30,1. FC Köln,VfL Wolfsburg,0,0,1,2,
Matchday 2,2023-08-26,15:30,VfL Bochum 1848,Borussia Dortmund,1,0,1,1,
Matchday 2,2023-08-26,15:30,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,1,0,2,3,
Matchday 2,2023-08-26,15:30,SV Darmstadt 98,1. FC Union Berlin,1,3,1,4,
Matchday 2,2023-08-26,18:30,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,2,0,3,
Matchday 2,2023-08-27,15:30,1. FSV Mainz 05,Eintracht Frankfurt,1,0,1,1,
Matchday 2,2023-08-27,17:30,FC Bayern München,FC Augsburg,2,0,3,1,
Matchday 3,2023-09-01,20:30,Borussia Dortmund,1. FC Heidenheim 1846,2,0,2,2,
Matchday 3,2023-09-02,15:30,Bayer 04 Leverkusen,SV Darmstadt 98,1,1,5,1,
Matchday 3,2023-09-02,15:30,TSG 1899 Hoffenheim,VfL Wolfsburg,1,1,3,1,
Matchday 3,2023-09-02,15:30,SV Werder Bremen,1. FSV Mainz 05,1,0,4,0,
Matchday 3,2023-09-02,15:30,FC Augsburg,VfL Bochum 1848,1,1,2,2,
Matchday 3,2023-09-02,15:30,VfB Stuttgart,SC Freiburg,3,0,5,0,
Matchday 3,2023-09-02,18:30,Borussia Mönchengladbach,FC Bayern München,1,0,1,2,
Matchday 3,2023-09-03,15:30,Eintracht Frankfurt,1. FC Köln,0,1,1,1,
Matchday 3,2023-09-03,17:30,1. FC Union Berlin,RB Leipzig,0,0,0,3,
Matchday 4,2023-09-15,20:30,FC Bayern München,Bayer 04 Leverkusen,1,1,2,2,
Matchday 4,2023-09-16,15:30,RB Leipzig,FC Augsburg,3,0,3,0,
Matchday 4,2023-09-16,15:30,SC Freiburg,Borussia Dortmund,2,1,2,4,
Matchday 4,2023-09-16,15:30,VfL Wolfsburg,1. FC Union Berlin,2,1,2,1,
Matchday 4,2023-09-16,15:30,1. FSV Mainz 05,VfB Stuttgart,0,0,1,3,
Matchday 4,2023-09-16,15:30,1. FC Köln,TSG 1899 Hoffenheim,0,2,1,3,
Matchday 4,2023-09-16,18:30,VfL Bochum 1848,Eintracht Frankfurt,0,0,1,1,
Matchday 4,2023-09-17,15:30,1. FC Heidenheim 1846,SV Werder Bremen,2,0,4,2,
Matchday 4,2023-09-17,17:30,SV Darmstadt 98,Borussia Mönchengladbach,3,0,3,3,
Matchday 5,2023-09-22,20:30,VfB Stuttgart,SV Darmstadt 98,2,1,3,1,
Matchday 5,2023-09-23,15:30,FC Bayern München,VfL Bochum 1848,4,0,7,0,
Matchday 5,2023-09-23,15:30,Borussia Dortmund,VfL Wolfsburg,0,0,1,0,
Matchday 5,2023-09-23,15:30,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2,0,2,
Matchday 5,2023-09-23,15:30,Borussia Mönchengladbach,RB Leipzig,0,0,0,1,
Matchday 5,2023-09-23,15:30,FC Augsburg,1. FSV Mainz 05,2,1,2,1,
Matchday 5,2023-09-23,18:30,SV Werder Bremen,1. FC Köln,1,1,2,1,
Matchday 5,2023-09-24,15:30,Bayer 04 Leverkusen,1. FC Heidenheim 1846,1,0,4,1,
Matchday 5,2023-09-24,17:30,Eintracht Frankfurt,SC Freiburg,,,0,0,
Matchday 6,2023-09-29,20:30,TSG 1899 Hoffenheim,Borussia Dortmund,1,2,1,3,
Matchday 6,2023-09-30,15:30,VfL Wolfsburg,Eintracht Frankfurt,1,0,2,0,
Matchday 6,2023-09-30,15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,0,1,0,3,
Matchday 6,2023-09-30,15:30,1. FC Köln,VfB Stuttgart,0,0,0,2,
Matchday 6,2023-09-30,15:30,VfL Bochum 1848,Borussia Mönchengladbach,0,3,1,3,
Matchday 6,2023-09-30,15:30,1. FC Heidenheim 1846,1. FC Union Berlin,0,0,1,0,
Matchday 6,2023-09-30,18:30,RB Leipzig,FC Bayern München,2,0,2,2,
Matchday 6,2023-10-01,15:30,SV Darmstadt 98,SV Werder Bremen,2,0,4,2,
Matchday 6,2023-10-01,17:30,SC Freiburg,FC Augsburg,1,0,2,0,
Matchday 7,2023-10-06,20:30,Borussia Mönchengladbach,1. FSV Mainz 05,1,1,2,2,
Matchday 7,2023-10-07,15:30,Borussia Dortmund,1. FC Union Berlin,1,2,4,2,
Matchday 7,2023-10-07,15:30,RB Leipzig,VfL Bochum 1848,,,0,0,
Matchday 7,2023-10-07,15:30,FC Augsburg,SV Darmstadt 98,0,0,1,2,
Matchday 7,2023-10-07,15:30,VfB Stuttgart,VfL Wolfsburg,0,1,3,1,
Matchday 7,2023-10-07,18:30,SV Werder Bremen,TSG 1899 Hoffenheim,1,2,2,3,
Matchday 7,2023-10-08,15:30,Bayer 04 Leverkusen,1. FC Köln,2,0,3,0,
Matchday 7,2023-10-08,17:30,FC Bayern München,SC Freiburg,2,0,3,0,
Matchday 7,2023-10-08,19:30,Eintracht Frankfurt,1. FC Heidenheim 1846,1,0,2,0,
Matchday 8,2023-10-20,20:30,Borussia Dortmund,SV Werder Bremen,0,0,1,0,
Matchday 8,2023-10-21,15:30,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,3,1,3,
Matchday 8,2023-10-21,15:30,SV Darmstadt 98,RB Leipzig,1,2,1,3,
Matchday 8,2023-10-21,15:30,1. FC Union Berlin,VfB Stuttgart,0,1,0,3,
Matchday 8,2023-10-21,15:30,SC Freiburg,VfL Bochum 1848,2,1,2,1,
Matchday 8,2023-10-21,15:30,VfL Wolfsburg,Bayer 04 Leverkusen,1,1,1,2,
Matchday 8,2023-10-21,18:30,1. FSV Mainz 05,FC Bayern München,1,2,1,3,
Matchday 8,2023-10-22,15:30,1. FC Köln,Borussia Mönchengladbach,1,0,3,1,
Matchday 8,2023-10-22,17:30,1. FC Heidenheim 1846,FC Augsburg,2,3,2,5,
Matchday 9,2023-10-27,20:30,VfL Bochum 1848,1. FSV Mainz 05,1,0,2,2,
Matchday 9,2023-10-28,15:30,FC Bayern München,SV Darmstadt 98,0,0,8,0,
Matchday 9,2023-10-28,15:30,Borussia Mönchengladbach,1. FC Heidenheim 1846,1,1,2,1,
Matchday 9,2023-10-28,15:30,SV Werder Bremen,1. FC Union Berlin,1,0,2,0,
Matchday 9,2023-10-28,15:30,FC Augsburg,VfL Wolfsburg,1,2,3,2,
Matchday 9,2023-10-28,15:30,VfB Stuttgart,TSG 1899 Hoffenheim,0,2,2,3,
Matchday 9,2023-10-28,18:30,RB Leipzig,1. FC Köln,4,0,6,0,
Matchday 9,2023-10-29,15:30,Eintracht Frankfurt,Borussia Dortmund,2,1,3,3,
Matchday 9,2023-10-29,17:30,Bayer 04 Leverkusen,SC Freiburg,1,0,2,1,
Matchday 10,2023-11-03,20:30,SV Darmstadt 98,VfL Bochum 1848,1,1,1,2,
Matchday 10,2023-11-04,15:30,1. FC Union Berlin,Eintracht Frankfurt,0,2,0,3,
Matchday 10,2023-11-04,15:30,SC Freiburg,Borussia Mönchengladbach,1,3,3,3,
Matchday 10,2023-11-04,15:30,1. FSV Mainz 05,RB Leipzig,0,0,2,0,
Matchday 10,2023-11-04,15:30,1. FC Köln,FC Augsburg,1,1,1,1,
Matchday 10,2023-11-04,15:30,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,0,2,2,3,
Matchday 10,2023-11-04,18:30,Borussia Dortmund,FC Bayern München,0,2,0,4,
Matchday 10,2023-11-05,15:30,VfL Wolfsburg,SV Werder Bremen,1,1,2,2,
Matchday 10,2023-11-05,17:30,1. FC Heidenheim 1846,VfB Stuttgart,0,0,2,0,
Matchday 11,2023-11-10,20:30,Borussia Mönchengladbach,VfL Wolfsburg,2,0,4,0,
Matchday 11,2023-11-11,15:30,FC Bayern München,1. FC Heidenheim 1846,2,0,4,2,
Matchday 11,2023-11-11,15:30,FC Augsburg,TSG 1899 Hoffenheim,0,1,1,1,
Matchday 11,2023-11-11,15:30,VfB Stuttgart,Borussia Dortmund,1,1,2,1,
Matchday 11,2023-11-11,15:30,SV Darmstadt 98,1. FSV Mainz 05,,,0,0,
Matchday 11,2023-11-11,18:30,VfL Bochum 1848,1. FC Köln,1,0,1,1,
Matchday 11,2023-11-12,15:30,Bayer 04 Leverkusen,1. FC Union Berlin,1,0,4,0,
Matchday 11,2023-11-12,17:30,SV Werder Bremen,Eintracht Frankfurt,1,0,2,2,
Matchday 11,2023-11-12,19:30,RB Leipzig,SC Freiburg,1,1,3,1,
Matchday 12,2023-11-24,20:30,1. FC Köln,FC Bayern München,0,1,0,1,
Matchday 12,2023-11-25,15:30,Borussia Dortmund,Borussia Mönchengladbach,3,2,4,2,
Matchday 12,2023-11-25,15:30,1. FC Union Berlin,FC Augsburg,0,1,1,1,
Matchday 12,2023-11-25,15:30,SC Freiburg,SV Darmstadt 98,1,1,1,1,
Matchday 12,2023-11-25,15:30,VfL Wolfsburg,RB Leipzig,1,0,2,1,
Matchday 12,2023-11-25,15:30,SV Werder Bremen,Bayer 04 Leverkusen,0,2,0,3,
Matchday 12,2023-11-25,18:30,Eintracht Frankfurt,VfB Stuttgart,1,2,1,2,
Matchday 12,2023-11-26,15:30,1. FC Heidenheim 1846,VfL Bochum 1848,,,0,0,
Matchday 12,2023-11-26,17:30,TSG 1899 Hoffenheim,1. FSV Mainz 05,0,1,1,1,
Matchday 13,2023-12-01,20:30,SV Darmstadt 98,1. FC Köln,0,0,0,1,
Matchday 13,2023-12-02,15:30,RB Leipzig,1. FC Heidenheim 1846,2,1,2,1,
Matchday 13,2023-12-02,15:30,Borussia Mönchengladbach,TSG 1899 Hoffenheim,0,0,2,1,
Matchday 13,2023-12-02,15:30,VfL Bochum 1848,VfL Wolfsburg,2,1,3,1,
Matchday 13,2023-12-02,18:30,VfB Stuttgart,SV Werder Bremen,1,0,2,0,
Matchday 13,2023-12-03,15:30,1. FSV Mainz 05,SC Freiburg,0,0,0,1,
Matchday 13,2023-12-03,17:30,Bayer 04 Leverkusen,Borussia Dortmund,0,1,1,1,
Matchday 13,2023-12-03,19:30,FC Augsburg,Eintracht Frankfurt,1,0,2,1,
Matchday 14,2023-12-08,20:30,TSG 1899 Hoffenheim,VfL Bochum 1848,2,0,3,1,
Matchday 14,2023-12-09,15:30,1. FC Union Berlin,Borussia Mönchengladbach,1,0,3,1,
Matchday 14,2023-12-09,15:30,Eintracht Frankfurt,FC Bayern München,3,1,5,1,
Matchday 14,2023-12-09,15:30,VfL Wolfsburg,SC Freiburg,0,0,0,1,
Matchday 14,2023-12-09,15:30,SV Werder Bremen,FC Augsburg,1,0,2,0,
Matchday 14,2023-12-09,15:30,1. FC Heidenheim 1846,SV Darmstadt 98,1,0,3,2,
Matchday 14,2023-12-09,18:30,Borussia Dortmund,RB Leipzig,1,1,2,3,
Matchday 14,2023-12-10,15:30,VfB Stuttgart,Bayer 04 Leverkusen,1,0,1,1,
Matchday 14,2023-12-10,17:30,1. FC Köln,1. FSV Mainz 05,,,0,0,
Matchday 15,2023-12-15,20:30,Borussia Mönchengladbach,SV Werder Bremen,1,1,2,2,
Matchday 15,2023-12-16,15:30,1. FSV Mainz 05,1. FC Heidenheim 1846,0,1,0,1,
Matchday 15,2023-12-16,15:30,VfL Bochum 1848,1. FC Union Berlin,1,0,3,0,
Matchday 15,2023-12-16,15:30,FC Augsburg,Borussia Dortmund,1,1,1,1,
Matchday 15,2023-12-16,15:30,SV Darmstadt 98,VfL Wolfsburg,0,0,0,1,
Matchday 15,2023-12-16,18:30,RB Leipzig,TSG 1899 Hoffenheim,1,1,3,1,
Matchday 15,2023-12-17,15:30,SC Freiburg,1. FC Köln,0,0,2,0,
Matchday 15,2023-12-17,17:30,Bayer 04 Leverkusen,Eintracht Frankfurt,1,0,3,0,
Matchday 15,2023-12-17,19:30,FC Bayern München,VfB Stuttgart,1,0,3,0,
Matchday 16,2023-12-19,18:30,SV Werder Bremen,RB Leipzig,0,0,1,1,
Matchday 16,2023-12-19,20:30,Borussia Dortmund,1. FSV Mainz 05,1,1,1,1,
Matchday 16,2023-12-19,20:30,TSG 1899 Hoffenheim,SV Darmstadt 98,2,1,3,3,
Matchday 16,2023-12-20,18:30,1. FC Union Berlin,1. FC Köln,0,0,2,0,
Matchday 16,2023-12-20,20:30,Bayer 04 Leverkusen,VfL Bochum 1848,3,0,4,0,
Matchday 16,2023-12-20,20:30,Eintracht Frankfurt,Borussia Mönchengladbach,0,1,2,1,
Matchday 16,2023-12-20,20:30,VfL Wolfsburg,FC Bayern München,1,2,1,2,
Matchday 16,2023-12-20,20:30,VfB Stuttgart,FC Augsburg,2,0,3,0,
Matchday 16,2023-12-20,20:30,1. FC Heidenheim 1846,SC Freiburg,0,1,3,2,
Matchday 17,2024-01-12,20:30,FC Bayern München,TSG 1899 Hoffenheim,1,0,3,0,
Matchday 17,2024-01-13,15:30,RB Leipzig,Eintracht Frankfurt,0,1,0,1,
Matchday 17,2024-01-13,15:30,SC Freiburg,1. FC Union Berlin,,,0,0,
Matchday 17,2024-01-13,15:30,1. FSV Mainz 05,VfL Wolfsburg,0,1,1,1,
Matchday 17,2024-01-13,15:30,1. FC Köln,1. FC Heidenheim 1846,1,0,1,1,
Matchday 17,2024-01-13,15:30,FC Augsburg,Bayer 04 Leverkusen,0,0,0,1,
Matchday 17,2024-01-13,18:30,SV Darmstadt 98,Borussia Dortmund,0,1,0,3,
Matchday 17,2024-01-14,15:30,VfL Bochum 1848,SV Werder Bremen,0,0,1,1,
Matchday 17,2024-01-14,17:30,Borussia Mönchengladbach,VfB Stuttgart,2,0,3,1,
Matchday 18,2024-01-20,15:30,1. FC Köln,Borussia Dortmund,0,1,0,4,
Matchday 18,2024-01-20,15:30,SV Darmstadt 98,Eintracht Frankfurt,0,1,2,2,
Matchday 18,2024-01-20,15:30,1. FC Heidenheim 1846,VfL Wolfsburg,1,1,1,1,
Matchday 18,2024-01-20,15:30,SC Freiburg,TSG 1899 Hoffenheim,1,0,3,2,
